Sektor_ID,Lat,Lon,dist_to_ditch,manholes_300m,in_basin
S_15,51.24,16.71,10346.277459912872,0,0
S_150,51.24,16.89,3836.1304745548578,0,0
S_151,50.96,16.91,10879.657044859136,0,0
S_153,51.0,16.91,6900.951084593016,0,0
S_155,51.04,16.91,3800.973434448058,0,0
S_157,51.08,16.91,678.6116760835603,0,0
S_158,51.1,16.91,856.39299833093,0,0
S_16,50.96,16.73,18562.794541818243,0,0
S_160,51.14,16.91,79.09561123337517,67,0
S_162,51.18,16.91,140.86672674542552,12,0
S_164,51.22,16.91,1287.798552325959,0,0
S_165,51.24,16.91,3216.653967735071,0,0
S_166,50.96,16.93,10464.433929184495,0,0
S_168,51.0,16.93,6226.424610680338,0,0
S_169,51.02,16.93,4272.15334819429,0,0
S_17,50.98,16.73,16577.85936257925,0,0
S_171,51.06,16.93,1405.8627140060885,0,0
S_172,51.08,16.93,153.7128938178727,8,0
S_174,51.12,16.93,110.37966010894911,171,0
S_175,51.14,16.93,35.063298395709715,86,0
S_176,51.16,16.93,119.28241091083214,232,0
S_177,51.18,16.93,116.24242338942591,0,0
S_178,51.2,16.93,243.57309243338528,0,0
S_18,51.0,16.73,14659.31178278656,0,0
S_180,51.24,16.93,3093.126161565517,0,0
S_181,50.96,16.95,10226.581742100509,0,0
S_182,50.98,16.95,8016.664197115699,0,0
S_183,51.0,16.95,5818.1929194215,0,0
S_184,51.02,16.95,3651.912744084874,0,0
S_185,51.04,16.95,1649.9390675083405,0,0
S_186,51.06,16.95,410.0436766351651,0,0
S_187,51.08,16.95,135.73596988018187,17,0
S_188,51.1,16.95,247.77790874820764,497,0
S_19,51.02,16.73,12840.031827983006,0,0
S_190,51.14,16.95,58.19435946083127,26,0
S_192,51.18,16.95,178.81956525149948,0,0
S_193,51.2,16.95,22.648521817056732,0,0
S_194,51.22,16.95,1150.6667062630731,0,0
S_195,51.24,16.95,3375.3802928720816,0,0
S_197,50.98,16.97,7910.592124100563,0,0
S_198,51.0,16.97,5733.420616111684,0,0
S_2,50.98,16.71,17290.38293212061,0,0
S_20,51.04,16.73,11168.639446384243,0,0
S_200,51.04,16.97,1320.5917622766913,0,0
S_202,51.08,16.97,340.05915963391885,216,0
S_204,51.12,16.97,67.7717167848776,382,0
S_207,51.18,16.97,2.9191676711853622,0,0
S_209,51.22,16.97,1398.7357096017101,0,0
S_21,51.06,16.73,9721.717491631141,0,0
S_211,50.96,16.99,9604.746935014811,0,0
S_213,51.0,16.99,5357.026442742652,0,0
S_215,51.04,16.99,1331.1566054527661,0,0
S_218,51.1,16.99,95.92616121470773,365,0
S_22,51.08,16.73,8506.568173937441,0,0
S_220,51.14,16.99,268.2790269957991,83,0
S_222,51.18,16.99,123.68845424774821,11,0
S_224,51.22,16.99,1746.1197465715757,0,0
S_225,51.24,16.99,3909.727010031838,0,0
S_227,50.98,17.01,7107.333504160153,0,0
S_229,51.02,17.01,2861.553217630114,0,0
S_23,51.1,16.73,6936.109378879808,0,0
S_231,51.06,17.01,185.8425725294435,221,0
S_233,51.1,17.01,739.3658417430682,357,0
S_236,51.16,17.01,47.96600225330634,194,0
S_238,51.2,17.01,522.3469551576198,0,0
S_24,51.12,16.73,5810.251733180315,0,0
S_240,51.24,17.01,4320.154486873881,0,0
S_242,50.98,17.03,6980.9290012326765,0,0
S_243,51.0,17.03,4756.1640585458545,0,0
S_246,51.06,17.03,168.58167701773638,168,0
S_248,51.1,17.03,1524.3718245292073,326,0
S_25,51.14,16.73,5412.525413426852,0,0
S_250,51.14,17.03,587.7412940066755,456,0
S_252,51.18,17.03,253.34953180821338,6,0
S_254,51.22,17.03,3149.442431326004,0,0
S_256,50.96,17.05,9322.345445162835,0,0
S_259,51.02,17.05,2910.9997256157144,0,0
S_26,51.16,16.73,5863.717409588568,0,0
S_261,51.06,17.05,26.754012374311475,241,0
S_263,51.1,17.05,905.3365178959565,428,0
S_265,51.14,17.05,1096.9398205322211,166,0
S_267,51.18,17.05,781.3390905233456,0,0
S_27,51.18,16.73,6493.224785585582,0,0
S_270,51.24,17.05,5775.605634906718,0,0
S_272,50.98,17.07,7285.075000429359,0,0
S_274,51.02,17.07,2878.275441631271,0,0
S_276,51.06,17.07,18.403622301136235,17,0
S_278,51.1,17.07,263.626736591189,71,0
S_28,51.2,16.73,7008.001097177331,0,0
S_280,51.14,17.07,5.296732199324818,340,0
S_283,51.2,17.07,2821.0569727528555,0,0
S_285,51.24,17.07,6615.739492012172,0,0
S_286,50.96,17.09,9505.401786812829,0,0
S_288,51.0,17.09,5068.946250743713,0,0
S_29,51.22,16.73,7938.677214869078,0,0
S_290,51.04,17.09,627.9980417595431,0,0
S_292,51.08,17.09,88.13980394258562,107,0
S_294,51.12,17.09,450.62107651110034,141,0
S_296,51.16,17.09,60.45637724612981,0,0
S_297,51.18,17.09,402.1787713061745,0,0
S_299,51.22,17.09,4841.310711102912,0,0
S_3,51.0,16.71,15460.167737524162,0,0
S_30,51.24,16.73,9275.33000166609,0,0
