Sektor_ID,Lat,Lon,dist_to_ditch,manholes_300m,in_basin,NDVI,NDWI,NDMI,Forecast_Date,Step
S_376,50.96,17.21,10190.839513748497,0,0,0.41886842,-0.488092,-0.04649573,2026-03-01,1
S_377,50.98,17.21,8210.03594069413,0,0,0.31314406,-0.42817038,-0.12946711,2026-03-01,1
S_379,51.02,17.21,4906.809099143584,0,0,0.4101382,-0.5069839,-0.09034573,2026-03-01,1
S_38,51.1,16.75,5908.015345296582,0,0,0.4482758,-0.49409455,0.009740237,2026-03-01,1
S_380,51.04,17.21,3974.282833083281,0,0,0.36375788,-0.45816994,-0.10989061,2026-03-01,1
S_382,51.08,17.21,2818.8981827577068,0,0,0.4268299,-0.47484675,0.035756268,2026-03-01,1
S_384,51.12,17.21,2811.402315802659,0,0,0.30181196,-0.41391614,-0.071823195,2026-03-01,1
S_386,51.16,17.21,3964.297130363847,0,0,0.32496837,-0.41963366,-0.072589256,2026-03-01,1
S_389,51.22,17.21,6155.712601673673,0,0,0.30964598,-0.4114275,-0.088454485,2026-03-01,1
S_39,51.12,16.75,4534.291563557253,0,0,0.32566905,-0.40262896,-0.065790296,2026-03-01,1
S_390,51.24,17.21,8024.6705081537875,0,0,0.3189562,-0.415578,-0.01761857,2026-03-01,1
S_391,50.96,17.23,10840.25969081234,0,0,0.3737759,-0.4519107,-0.10596276,2026-03-01,1
S_392,50.98,17.23,9003.161363737108,0,0,0.34736207,-0.44077152,-0.0779721,2026-03-01,1
S_393,51.0,17.23,7382.589353045482,0,0,0.32650954,-0.4306448,-0.08942627,2026-03-01,1
S_394,51.02,17.23,6111.605858024738,0,0,0.39710087,-0.4920157,-0.07889591,2026-03-01,1
S_395,51.04,17.23,4971.335173736405,0,0,0.30195332,-0.39572316,-0.09574285,2026-03-01,1
S_396,51.06,17.23,3979.420376276317,0,0,0.3340458,-0.42936096,-0.082211494,2026-03-01,1
S_397,51.08,17.23,4105.821277418549,0,0,0.30282944,-0.41541353,-0.10194921,2026-03-01,1
S_398,51.1,17.23,3825.238852130517,0,0,0.3012083,-0.4014234,-0.0748367,2026-03-01,1
S_399,51.12,17.23,4059.24751098903,0,0,0.3306636,-0.4384482,-0.072089314,2026-03-01,1
S_4,51.02,16.71,13746.899774716265,0,0,0.32482818,-0.39348218,-0.029861882,2026-03-01,1
S_40,51.14,16.75,4013.110042361553,0,0,0.41531202,-0.46207705,0.031197406,2026-03-01,1
S_400,51.14,17.23,5077.889591772684,0,0,0.31968233,-0.41349876,-0.09082176,2026-03-01,1
S_401,51.16,17.23,5362.238851744935,0,0,0.32324305,-0.4241415,-0.07949823,2026-03-01,1
S_402,51.18,17.23,5164.650253401098,0,0,0.35055053,-0.44362158,-0.07034566,2026-03-01,1
S_403,51.2,17.23,5791.946670621568,0,0,0.3378635,-0.43602657,-0.06457553,2026-03-01,1
S_404,51.22,17.23,7093.700827252286,0,0,0.32862705,-0.4249156,-0.048003677,2026-03-01,1
S_405,51.24,17.23,8774.710761505301,0,0,0.29997763,-0.40310806,-0.015830731,2026-03-01,1
S_406,50.96,17.25,11623.715328983602,0,0,0.37397,-0.45102617,-0.036468428,2026-03-01,1
S_407,50.98,17.25,9932.217903269244,0,0,0.32249236,-0.42767802,-0.095328964,2026-03-01,1
S_41,51.16,16.75,4531.119295161696,0,0,0.3521277,-0.42011607,-0.025306918,2026-03-01,1
S_410,51.04,17.25,6129.1194061255255,0,0,0.24618419,-0.3326134,-0.10958223,2026-03-01,1
S_412,51.08,17.25,5449.646214796447,0,0,0.34279874,-0.42996314,-0.070609264,2026-03-01,1
S_414,51.12,17.25,5382.7184159775925,0,0,0.34677348,-0.4442846,-0.07600219,2026-03-01,1
S_415,51.14,17.25,6380.169182758276,0,0,0.31341386,-0.41346672,-0.06289386,2026-03-01,1
S_417,51.18,17.25,6559.259200270753,0,0,0.4713215,-0.5230378,0.02251744,2026-03-01,1
S_418,51.2,17.25,7063.273077274323,0,0,0.42781827,-0.48696047,-0.020483742,2026-03-01,1
S_419,51.22,17.25,8164.353191759555,0,0,0.30369726,-0.38005006,-0.03845746,2026-03-01,1
S_42,51.18,16.75,5112.8447514642985,0,0,0.3672823,-0.4504803,-0.094611056,2026-03-01,1
S_43,51.2,16.75,5706.64132954761,0,0,0.33778307,-0.4307485,-0.120045975,2026-03-01,1
S_44,51.22,16.75,6775.548434194237,0,0,0.27952576,-0.3868565,-0.12621811,2026-03-01,1
S_45,51.24,16.75,8302.081445945038,0,0,0.35999027,-0.44032818,-0.07089369,2026-03-01,1
S_46,50.96,16.77,17022.908120220254,0,0,0.27087575,-0.37794828,-0.068953514,2026-03-01,1
S_47,50.98,16.77,15422.41639279965,0,0,0.296313,-0.3900115,-0.10732756,2026-03-01,1
S_48,51.0,16.77,13349.921110816154,0,0,0.3614589,-0.44758734,-0.10920457,2026-03-01,1
S_49,51.02,16.77,11333.075173326231,0,0,0.35367033,-0.42777213,-0.0844642,2026-03-01,1
S_5,51.04,16.71,12199.952563339264,0,0,0.3374399,-0.42046857,-0.06768582,2026-03-01,1
S_50,51.04,16.77,9398.22334858242,0,0,0.29014125,-0.3768205,-0.09173014,2026-03-01,1
S_51,51.06,16.77,7623.368673179539,0,0,0.2759779,-0.38358346,-0.12517847,2026-03-01,1
S_52,51.08,16.77,6148.669471297736,0,0,0.3233397,-0.4092504,-0.08362722,2026-03-01,1
