Sektor_ID,Lat,Lon,Pred_NDVI,Pred_NDWI,Pred_NDMI,Forecast_Date,Step
S_1,51.03,16.81,0.48003924,-0.47742265,0.1303219,2026-05-27,9
S_10,51.11,16.83,0.42537186,-0.45663324,0.07287773,2026-05-27,9
S_11,51.03,16.85,0.42565244,-0.44137943,0.1098919,2026-05-27,9
S_12,51.05,16.85,0.3339984,-0.34758708,0.0075610406,2026-05-27,9
S_13,51.07,16.85,0.32136545,-0.37517244,-0.077853136,2026-05-27,9
S_14,51.09,16.85,0.43599874,-0.4637184,0.034677614,2026-05-27,9
S_15,51.11,16.85,0.4335492,-0.44107336,0.10639175,2026-05-27,9
S_16,51.03,16.87,0.37020585,-0.3904968,0.13275683,2026-05-27,9
S_17,51.05,16.87,0.2938533,-0.3448995,-0.016066179,2026-05-27,9
S_18,51.07,16.87,0.31728625,-0.35865265,0.03143261,2026-05-27,9
S_19,51.09,16.87,0.4496785,-0.4589992,0.04979606,2026-05-27,9
S_2,51.05,16.81,0.36349133,-0.3976044,0.072054446,2026-05-27,9
S_20,51.11,16.87,0.44331133,-0.40395686,0.027777601,2026-05-27,9
S_21,51.03,16.89,0.40684867,-0.43878156,0.052382197,2026-05-27,9
S_22,51.05,16.89,0.43334466,-0.44333187,0.09982721,2026-05-27,9
S_23,51.07,16.89,0.42632893,-0.4649973,0.07573649,2026-05-27,9
S_24,51.09,16.89,0.42282373,-0.4509348,0.046834,2026-05-27,9
S_25,51.11,16.89,0.4379739,-0.43975765,0.064241834,2026-05-27,9
S_26,51.03,16.91,0.3482358,-0.33593616,0.057072293,2026-05-27,9
S_27,51.05,16.91,0.4455437,-0.44643947,0.112656265,2026-05-27,9
S_28,51.07,16.91,0.4328278,-0.45450044,0.07510806,2026-05-27,9
S_29,51.09,16.91,0.3711763,-0.4043134,0.028334456,2026-05-27,9
S_3,51.07,16.81,0.5081546,-0.49218857,0.11038365,2026-05-27,9
S_30,51.11,16.91,0.4348327,-0.43747368,0.07430224,2026-05-27,9
S_4,51.09,16.81,0.43329087,-0.46326062,0.067992434,2026-05-27,9
S_5,51.11,16.81,0.43502384,-0.45447415,0.072032556,2026-05-27,9
S_6,51.03,16.83,0.44436824,-0.45737198,0.1059247,2026-05-27,9
S_7,51.05,16.83,0.37791815,-0.40674022,0.09821912,2026-05-27,9
S_8,51.07,16.83,0.43169287,-0.4657899,0.05061337,2026-05-27,9
S_9,51.09,16.83,0.43193415,-0.46940792,0.04963958,2026-05-27,9
S_1,51.03,16.81,0.46456167,-0.472168,0.12448653,2026-06-01,10
S_10,51.11,16.83,0.42776483,-0.45627108,0.076411664,2026-06-01,10
S_11,51.03,16.85,0.44345662,-0.46127036,0.113817096,2026-06-01,10
S_12,51.05,16.85,0.334767,-0.33647373,0.047079504,2026-06-01,10
S_13,51.07,16.85,0.31237835,-0.37168264,-0.06799625,2026-06-01,10
S_14,51.09,16.85,0.43504408,-0.46712863,0.042785205,2026-06-01,10
S_15,51.11,16.85,0.43586394,-0.44205153,0.10548242,2026-06-01,10
S_16,51.03,16.87,0.38437313,-0.3915415,0.1300279,2026-06-01,10
S_17,51.05,16.87,0.30579886,-0.33226246,0.0028153895,2026-06-01,10
S_18,51.07,16.87,0.3095953,-0.34551996,0.04657842,2026-06-01,10
S_19,51.09,16.87,0.4152948,-0.44178134,0.07816826,2026-06-01,10
S_2,51.05,16.81,0.3633633,-0.38290185,0.07579766,2026-06-01,10
S_20,51.11,16.87,0.45991182,-0.44256574,0.03510814,2026-06-01,10
S_21,51.03,16.89,0.39813298,-0.4213146,0.06677011,2026-06-01,10
S_22,51.05,16.89,0.42621562,-0.43839264,0.10907259,2026-06-01,10
S_23,51.07,16.89,0.42089474,-0.45330492,0.07736336,2026-06-01,10
S_24,51.09,16.89,0.42542946,-0.4490243,0.07426685,2026-06-01,10
S_25,51.11,16.89,0.43657494,-0.4390677,0.06611476,2026-06-01,10
S_26,51.03,16.91,0.37511054,-0.37345007,0.07670124,2026-06-01,10
S_27,51.05,16.91,0.44776458,-0.45322168,0.11244678,2026-06-01,10
S_28,51.07,16.91,0.41909048,-0.4573777,0.07209891,2026-06-01,10
S_29,51.09,16.91,0.36334974,-0.39754322,0.049765695,2026-06-01,10
S_3,51.07,16.81,0.4914522,-0.4914533,0.11253646,2026-06-01,10
S_30,51.11,16.91,0.4374996,-0.44037086,0.07798546,2026-06-01,10
S_4,51.09,16.81,0.43062988,-0.4603155,0.065666854,2026-06-01,10
S_5,51.11,16.81,0.4337751,-0.45568806,0.07267456,2026-06-01,10
S_6,51.03,16.83,0.43409458,-0.4495276,0.10554694,2026-06-01,10
S_7,51.05,16.83,0.41087466,-0.42048752,0.11944666,2026-06-01,10
S_8,51.07,16.83,0.432479,-0.46231294,0.058224376,2026-06-01,10
S_9,51.09,16.83,0.42563573,-0.46267244,0.070695445,2026-06-01,10
S_1,51.03,16.81,0.45173562,-0.4617603,0.13679217,2026-06-06,11
S_10,51.11,16.83,0.42464682,-0.45537138,0.078505166,2026-06-06,11
S_11,51.03,16.85,0.4523434,-0.46213657,0.108989425,2026-06-06,11
S_12,51.05,16.85,0.333602,-0.3273552,0.08141962,2026-06-06,11
S_13,51.07,16.85,0.29268554,-0.34863365,-0.04670549,2026-06-06,11
S_14,51.09,16.85,0.4300542,-0.4583763,0.041048177,2026-06-06,11
S_15,51.11,16.85,0.4355591,-0.43823066,0.102719314,2026-06-06,11
