ID_mpwik,geometry
93255,POINT (6433789.69 5663170.26)
93257,POINT (6426188.68 5665952.3)
93263,POINT (6430724.23 5669983.65)
93267,POINT (6431747.73 5669258.87)
62180,POINT (6427023.88 5666300.48)
62182,POINT (6427013.24 5666313.79)
62186,POINT (6426996.46 5666334.4)
62192,POINT (6426972.16 5666366.14)
61214,POINT (6428455.79 5667280.21)
61216,POINT (6428396.97 5667304.36)
61218,POINT (6428516.22 5667374.45)
90151,POINT (6430460.8 5663350.77)
89995,POINT (6428926.36 5663136.19)
89997,POINT (6426644.43 5663384.89)
60800,POINT (6428601.53 5667365.25)
60802,POINT (6428593.08 5667422.29)
60804,POINT (6428582.02 5667409.99)
62004,POINT (6426906.69 5666739.66)
811129,POINT (6433480.73 5662942.05)
62012,POINT (6427298.5 5666756.76)
62014,POINT (6427231.01 5666637.52)
62016,POINT (6427271.87 5666617.98)
61228,POINT (6428515.73 5667435.42)
61230,POINT (6428513.54 5667447.15)
61232,POINT (6428444.46 5667456.1)
62364,POINT (6427521.22 5666387.6)
62368,POINT (6427547.41 5666431.13)
62370,POINT (6427671.01 5666370.82)
62374,POINT (6427698.97 5666356.83)
94119,POINT (6432517.11 5669637.99)
94127,POINT (6437988.62 5668151.26)
94191,POINT (6420445.78 5669288.34)
94193,POINT (6420443.6 5669286.22)
94195,POINT (6420437.1 5669292.54)
94197,POINT (6420443.76 5669283.43)
94199,POINT (6420447.59 5669279.19)
94201,POINT (6420417.03 5669247.45)
94203,POINT (6420374.79 5669270.33)
92895,POINT (6428056.39 5666172.76)
93013,POINT (6432846.1 5669242.46)
94575,POINT (6438335.18 5668126.01)
94577,POINT (6429496.04 5665568.29)
94583,POINT (6431134.32 5659240.67)
94587,POINT (6438347.97 5668085.81)
93283,POINT (6426157.04 5665937.82)
93285,POINT (6426160.9 5665936.21)
93287,POINT (6426315.39 5665883.56)
93291,POINT (6424940.5 5665782.62)
93309,POINT (6431914.96 5666264.28)
93311,POINT (6435963.63 5658547.69)
93319,POINT (6427288.69 5664625.22)
93325,POINT (6428400.62 5666135.94)
93863,POINT (6429372.66 5661101.69)
93873,POINT (6433202.72 5661519.65)
93877,POINT (6431203.31 5664663.99)
93881,POINT (6431489.74 5664552.72)
93887,POINT (6439289.82 5667865.65)
93889,POINT (6439263.63 5667805.3)
93897,POINT (6439268.42 5667733.21)
93937,POINT (6429227.35 5661181.36)
93939,POINT (6431782.4 5667446.67)
94479,POINT (6433020.16 5661788.25)
94481,POINT (6433018.87 5661771.41)
61328,POINT (6428718.58 5667353.03)
854679,POINT (6434395.39 5660868.79)
854680,POINT (6434386.6 5660867.37)
854681,POINT (6434371.71 5660864.95)
854682,POINT (6434369.27 5660864.38)
854683,POINT (6434348.98 5660917.48)
854684,POINT (6434335.33 5660968.92)
854685,POINT (6434347.13 5660971.5)
854689,POINT (6431424.31 5658444.72)
854690,POINT (6431423.12 5658457.66)
854697,POINT (6427729.65 5661414.59)
854698,POINT (6432699.31 5659662.33)
854699,POINT (6432683.41 5659658.78)
854700,POINT (6432664.37 5659668.38)
854701,POINT (6432668.54 5659683.95)
854702,POINT (6432688.56 5659684.73)
60600,POINT (6427637.93 5667463.39)
60602,POINT (6427656.17 5667469.55)
60604,POINT (6427690.26 5667440.62)
60606,POINT (6427708.36 5667459.43)
60608,POINT (6427690.26 5667407.24)
60614,POINT (6427615.23 5667441.65)
60616,POINT (6427713.08 5667420.07)
60618,POINT (6427664.21 5667430.49)
60626,POINT (6433176.4 5667650.02)
93337,POINT (6433247.21 5668457.43)
93339,POINT (6433282.9 5668458.09)
93341,POINT (6433226.9 5668423.04)
61234,POINT (6428456.14 5667467.85)
61236,POINT (6428468.11 5667467.13)
61238,POINT (6428468.45 5667429.62)
61240,POINT (6428461.05 5667419.47)
61242,POINT (6428419.01 5667420.14)
61244,POINT (6428407.21 5667429.72)
61248,POINT (6428407.58 5667440.3)
61250,POINT (6428407.69 5667453.77)
61252,POINT (6428408.01 5667467.72)
