ID_mpwik,geometry
584073,POINT (6432515.36 5669130.94)
584074,POINT (6432515.52 5669125.85)
584075,POINT (6432574.09 5669121.26)
584076,POINT (6432579.31 5669121.71)
612276,POINT (6432754.72 5658759.34)
711811,POINT (6432852.91 5666525.3)
711812,POINT (6432854.27 5666516.45)
711813,POINT (6432890.01 5666534.41)
711814,POINT (6432891.53 5666526.94)
711815,POINT (6432924.88 5666546.16)
711816,POINT (6432928.1 5666539.27)
711817,POINT (6432963.18 5666554.98)
711818,POINT (6433053.69 5666604.07)
711819,POINT (6433063.19 5666608.32)
711820,POINT (6433066.37 5666601.68)
711821,POINT (6433056.93 5666597.57)
711822,POINT (6433124.34 5666635.46)
711823,POINT (6433128.06 5666629.12)
711824,POINT (6432776.39 5666539.56)
711825,POINT (6432774.53 5666529.35)
711826,POINT (6432794.63 5666535.58)
711827,POINT (6432792.22 5666525.35)
610858,POINT (6430399.44 5658756.05)
610859,POINT (6430389.42 5658751.71)
610860,POINT (6430415.61 5658739.5)
610861,POINT (6430410.67 5658749.43)
610862,POINT (6430416.07 5658789.37)
610863,POINT (6430421.68 5658787.69)
610865,POINT (6430919.65 5658665.1)
610866,POINT (6430925.17 5658663.27)
610867,POINT (6430916.28 5658633.93)
610868,POINT (6430908.95 5658636.43)
610870,POINT (6430922.76 5658618.93)
541325,POINT (6427957.02 5660395.42)
541326,POINT (6428029.02 5660396.38)
610807,POINT (6431266.41 5657967.5)
610808,POINT (6431260.41 5657970.97)
610815,POINT (6431207.53 5657843.46)
610816,POINT (6431201.42 5657845.9)
610826,POINT (6431303.99 5658052.14)
618380,POINT (6434202.16 5667489.83)
618381,POINT (6434216.01 5667492.36)
618382,POINT (6434206.09 5667478.39)
618383,POINT (6434214.62 5667478.2)
618390,POINT (6434031.05 5667136.7)
610661,POINT (6426014.05 5669937.99)
610662,POINT (6426036.71 5669968.88)
610827,POINT (6431309.77 5658048.94)
610828,POINT (6431326.86 5658080.71)
610829,POINT (6431321.1 5658083.92)
610830,POINT (6431341.87 5658123.46)
610831,POINT (6431347.54 5658120.1)
610832,POINT (6431364.15 5658151.81)
610833,POINT (6431358.39 5658155.05)
610835,POINT (6431384.02 5658210.29)
610836,POINT (6431390.22 5658208.1)
610837,POINT (6431405.74 5658250.52)
610838,POINT (6431399.5 5658252.76)
610839,POINT (6431420.29 5658290.78)
610840,POINT (6431414.09 5658292.95)
36635,POINT (6434936.07 5664825.45)
651600,POINT (6431742.63 5659379.26)
651601,POINT (6431737.65 5659381.13)
651604,POINT (6431713.25 5659311.18)
651605,POINT (6431718.53 5659310.02)
651607,POINT (6431727.88 5659354.82)
651608,POINT (6431732.53 5659353.3)
651609,POINT (6431752.95 5659383.63)
651611,POINT (6431754.95 5659389.12)
31705,POINT (6423523.44 5673644.87)
583672,POINT (6432924.5 5666677.45)
583673,POINT (6432929.96 5666692.02)
583674,POINT (6432919.38 5666700.78)
583051,POINT (6432581.17 5669242.45)
651613,POINT (6431745.87 5659401.2)
651614,POINT (6431751.03 5659399.3)
651618,POINT (6431755.69 5659429.29)
651619,POINT (6431760.95 5659427.69)
651620,POINT (6431770.21 5659456.53)
651621,POINT (6431765.49 5659457.76)
651627,POINT (6431792.09 5659514.96)
651628,POINT (6431787.61 5659517.12)
584270,POINT (6431885.79 5667602.04)
584271,POINT (6431879.36 5667635.06)
584272,POINT (6431893.35 5667638.24)
584273,POINT (6431906.34 5667644.66)
584274,POINT (6431878.02 5667650.47)
584275,POINT (6431934.05 5667658.35)
584279,POINT (6431937.31 5667680.52)
584280,POINT (6431941.13 5667663.17)
584285,POINT (6431950.55 5667647.19)
584286,POINT (6431966.78 5667619.92)
584289,POINT (6431954.32 5667640.75)
35541,POINT (6427071.26 5660902.42)
649826,POINT (6436306.69 5657577.56)
649827,POINT (6436305.15 5657574.17)
651236,POINT (6438174.08 5660422.42)
618370,POINT (6434258.58 5667516.37)
618369,POINT (6434253.13 5667513.3)
618371,POINT (6434222.57 5667498.51)
610841,POINT (6431435.14 5658332.31)
610842,POINT (6431428.84 5658334.08)
610843,POINT (6431447.21 5658372.11)
610844,POINT (6431440.51 5658373.91)
610845,POINT (6431459.01 5658405.6)
610846,POINT (6431452.55 5658407.98)
35879,POINT (6433231.19 5664743.93)
584065,POINT (6432289.89 5669113.78)
584066,POINT (6432292.12 5669108.48)
584067,POINT (6432399.3 5669124.19)
584068,POINT (6432399.62 5669118.96)
584069,POINT (6432412.25 5669137.31)
648705,POINT (6431644.1 5658630.58)
712690,POINT (6440364.3 5669615.18)
616723,POINT (6430836.85 5665698.78)
712890,POINT (6429659 5667819.73)
712891,POINT (6429847.99 5668047.2)
712905,POINT (6429543.66 5667780.3)
583023,POINT (6422178.19 5664616.18)
583021,POINT (6422194.95 5664614.7)
583022,POINT (6422206.47 5664609.59)
583024,POINT (6422207.17 5664632.21)
583025,POINT (6422181.79 5664645.06)
583026,POINT (6422169.42 5664671.62)
583027,POINT (6422155.35 5664696)
583028,POINT (6422151.24 5664691.95)
618372,POINT (6434207.07 5667504.9)
618373,POINT (6434181.59 5667500.27)
618374,POINT (6434180.35 5667491.27)
36831,POINT (6431781.23 5658148.31)
36833,POINT (6431786.58 5658150.21)
720574,POINT (6422001.47 5664483.25)
720726,POINT (6424814.2 5667199.13)
720727,POINT (6424847.18 5667191.73)
720728,POINT (6424882.08 5667183.69)
720729,POINT (6424883.31 5667189.18)
720730,POINT (6424848.56 5667197.07)
720731,POINT (6424815.45 5667204.49)
720742,POINT (6427563.26 5665116.04)
720743,POINT (6427560.04 5665095.48)
720744,POINT (6427558.22 5665089.14)
720745,POINT (6427562.06 5665082.78)
720746,POINT (6427547.21 5665051.38)
720747,POINT (6427551.98 5665048.15)
720748,POINT (6427538.84 5665022.55)
613745,POINT (6430196.02 5670237.22)
613742,POINT (6430149.87 5670253.07)
613743,POINT (6430173.19 5670255.97)
613744,POINT (6430168.96 5670250.85)
613746,POINT (6430191.72 5670232.03)
613747,POINT (6430219.97 5670209.43)
613748,POINT (6430233.19 5670206.89)
613749,POINT (6430251.28 5670192.17)
613750,POINT (6430243.72 5670182.83)
613751,POINT (6430245.76 5670185.54)
613752,POINT (6430270.65 5670176.39)
613753,POINT (6430265.84 5670170.46)
613754,POINT (6430286.18 5670163.7)
613755,POINT (6430281.99 5670158.76)
613756,POINT (6430299.09 5670144.92)
613757,POINT (6430303.37 5670149.77)
613758,POINT (6430321.31 5670135.08)
613772,POINT (6430218.68 5670193.61)
613785,POINT (6430377.68 5670077.71)
613786,POINT (6430382.98 5670084.7)
613787,POINT (6430393.72 5670076.16)
642338,POINT (6423844.52 5669196.66)
642339,POINT (6423789.49 5669130.92)
642340,POINT (6423822.82 5669118.33)
642341,POINT (6423848.19 5669108.8)
642342,POINT (6423867.68 5669101.49)
642343,POINT (6423876.49 5669098.09)
613790,POINT (6430405.34 5670057.1)
