SYMBOL_ROWU,RODZAJ_KOD,ZARUR_SREDNICA,ID_mpwik,Shape_Length,geometry
O-25.15,1.0,,574,96.21976484703906,"MULTILINESTRING ((6418620.08 5671888.86, 6418635.31 5671891.74, 6418650.22 5671892.92, 6418663.75 5671893.12, 6418671.17 5671891.41, 6418687.27 5671885.24, 6418696.1 5671881.59, 6418702.14 5671880.48, 6418706.94 5671880.35, 6418713.57 5671882.18))"
O-25,1.0,,575,5.353223327904458,"MULTILINESTRING ((6418943.48 5671787.3, 6418948.69 5671786.07))"
,1.0,,576,8.528552046105569,"MULTILINESTRING ((6418975.04 5671672.25, 6418983.53 5671673.06))"
,1.0,,577,45.788465359424734,"MULTILINESTRING ((6419283.48 5671735.66, 6419293.87 5671730.37, 6419319.55 5671723.41, 6419325.94 5671719.44))"
O-25.13.14,1.0,,578,86.85028321747896,"MULTILINESTRING ((6419042.14 5671761.53, 6419021.26 5671782.75, 6419012.64 5671789.26, 6419006.02 5671792.49, 6418999.89 5671793.44, 6418995.39 5671796.04, 6418983.27 5671799.58, 6418972.95 5671802.55, 6418968.82 5671802.92))"
O-70,1.0,,579,83.98073649651656,"MULTILINESTRING ((6418984.93 5671805.56, 6419016.52 5671795.47, 6419023.25 5671789.4, 6419052.59 5671759.69))"
,1.0,,580,70.2803011561612,"MULTILINESTRING ((6419302.69 5671708.4, 6419311.32 5671708.7, 6419318.15 5671709.59, 6419370.4 5671725.97))"
,1.0,,581,56.22370763359372,"MULTILINESTRING ((6419317.01 5671715.49, 6419370.48 5671732.87))"
,1.0,,582,310.53507691484305,"MULTILINESTRING ((6419068.1 5671871.05, 6419095.3 5671831.52, 6419091.62 5671794.74, 6419092.02 5671760.58, 6419152.45 5671755.33, 6419185.55 5671756.12, 6419199.08 5671755.46, 6419270.55 5671742.45, 6419280.74 5671737.19))"
O-25,1.0,,583,147.26488415598436,"MULTILINESTRING ((6418970.83 5671763.23, 6418970.88 5671763.2, 6418974.9 5671761.37, 6418977.13 5671754.38, 6418990.3 5671745.94, 6418992.37 5671736.41, 6418999.53 5671733.36, 6419008.33 5671726.16, 6419008.04 5671718.77, 6419023.08 5671700.97, 6419027.78 5671690.37, 6419043.21 5671687.8, 6419052.67 5671677.88, 6419066.46 5671680.45, 6419071.5 5671679.04))"
O-75,1.0,,584,375.9771588491109,"MULTILINESTRING ((6419788.98 5672038.93, 6419788.72 5672034.48, 6419807.58 5672027.1, 6419826.5 5672021.24, 6419878.74 5672008, 6419928.12 5671992.1, 6419966.11 5671978.42, 6420016.48 5671961.39, 6420070.15 5671944.06, 6420077.03 5671941.76, 6420083.24 5671938.41, 6420084.86 5671936.27, 6420086.85 5671932.35, 6420087.56 5671929.71, 6420087.67 5671927.19, 6420086.68 5671912.43, 6420084.42 5671878.2))"
O-74,1.0,,585,24.20336546809388,"MULTILINESTRING ((6419834.54 5671881.21, 6419844.52 5671903.26))"
